Killed by,Count
The Heart,5
Gremlin Leader,3
Gremlin Nob,2
The Guardian,2
Collector,2
Hexaghost,2
Slavers,1
Maw,1
Transient,1
Shelled Parasite and Fungi,1
Champ,1
3 Darklings,1
Time Eater,1
Centurion and Healer,1
Lagavulin,1
