Killed by,Count
The Heart,4
Hexaghost,3
Slime Boss,2
Snake Plant,2
Donu and Deca,1
Slavers,1
Gremlin Nob,1
Nemesis,1
Chosen and Byrds,1
Reptomancer,1
Centurion and Healer,1
Exordium Thugs,1
3 Sentries,1
Time Eater,1
Snecko,1
