Gold
1212
455
922
451
847
767
934
510
1615
899
1052
352
1417
1006
246
776
474
565
779
1146
745
995
99
1008
99
819
912
249
816
1028
937
901
99
828
217
1410
140
966
796
1525
99
374
1151
787
831
813
