Card,Count
Strike_R,8
Strike_G,4
Strike_B,4
Perfected Strike,3
Defend_B,3
Zap,3
Anger,3
Writhe,2
Decay,2
Blizzard,2
Ball Lightning,1
Dualcast,1
Regret,1
Defend_G,1
Pain,1
All Out Attack,1
Dagger Spray,1
Clash,1
Hello World,1
