Killed by,Count
The Heart,3
Awakened One,2
The Guardian,2
Automaton,1
Shield and Spear,1
Donu and Deca,1
Book of Stabbing,1
Slime Boss,1
Gremlin Leader,1
Reptomancer,1
2 Orb Walkers,1
Collector,1
Lagavulin,1
Giant Head,1
