Killed by,Count
Book of Stabbing,4
The Heart,4
Collector,3
Slavers,2
Reptomancer,2
Hexaghost,1
Slime Boss,1
Snake Plant,1
Masked Bandits,1
Exordium Thugs,1
Lagavulin,1
Donu and Deca,1
