Gold
1116
773
1111
878
678
747
541
256
605
580
850
375
767
855
1337
954
452
536
968
1036
1279
1473
973
888
1770
905
187
1204
949
883
771
1182
945
490
1205
544
1141
147
1305
676
517
1529
1218
404
668
1189
712
1438
1412
961
