Killed by,Count
Champ,4
Hexaghost,3
The Heart,2
Time Eater,2
2 Orb Walkers,2
Gremlin Nob,2
Exordium Thugs,2
3 Sentries,2
Shelled Parasite and Fungi,2
Awakened One,2
The Guardian,1
Snecko,1
Slavers,1
Slime Boss,1
Collector,1
Centurion and Healer,1
Book of Stabbing,1
