Killed by,Count
The Heart,3
Champ,2
Hexaghost,2
Automaton,2
Awakened One,1
3 Louse,1
Gremlin Leader,1
Slime Boss,1
Large Slime,1
Shelled Parasite and Fungi,1
Book of Stabbing,1
Jaw Worm Horde,1
3 Sentries,1
Time Eater,1
Giant Head,1
Reptomancer,1
