Killed by,Count
Time Eater,3
Hexaghost,3
The Guardian,3
Giant Head,2
Gremlin Nob,2
Gremlin Leader,2
Snecko,1
Champ,1
Lagavulin,1
Cultist and Chosen,1
Gremlin Gang,1
Slavers,1
The Heart,1
Snake Plant,1
Awakened One,1
Sphere and 2 Shapes,1
