Killed by,Count
Hexaghost,2
Time Eater,2
Nemesis,2
Gremlin Nob,2
Slime Boss,2
The Heart,2
Snake Plant,1
The Mushroom Lair,1
Snecko,1
Awakened One,1
Book of Stabbing,1
3 Sentries,1
Slavers,1
2 Orb Walkers,1
Gremlin Gang,1
Jaw Worm,1
