Killed by,Count
Gremlin Nob,4
The Heart,3
Automaton,3
Slavers,2
Awakened One,2
Hexaghost,1
Gremlin Gang,1
2 Orb Walkers,1
Nemesis,1
Book of Stabbing,1
Donu and Deca,1
The Guardian,1
Cultist and Chosen,1
Slime Boss,1
Time Eater,1
4 Shapes,1
Gremlin Leader,1
Transient,1
Jaw Worm Horde,1
