Card,Count
Strike_R,67
Anger,5
Defend_R,5
Normality,4
Bash,3
Reckless Charge,2
Twin Strike,2
Parasite,2
Writhe,2
Wild Strike,2
Bludgeon,1
Iron Wave,1
Perfected Strike,1
Pain,1
Clash,1
Shame,1
Juggernaut,1
Decay,1
