Killed by,Count
The Heart,3
Book of Stabbing,3
3 Sentries,2
Time Eater,2
Slavers,2
The Guardian,1
Hexaghost,1
2 Orb Walkers,1
Spheric Guardian,1
Awakened One,1
Automaton,1
