Gold
2037
1389
893
1151
1340
268
906
150
410
838
1875
1398
395
955
330
986
1329
770
273
812
1176
1005
1175
1224
1272
1045
319
1290
1378
1052
778
823
835
999
2293
1161
446
1101
1138
808
1010
810
975
952
734
615
915
1094
699
1012
762
