Relic,Act,Picked,Win
Tiny House,2,False,True
Runic Dome,2,False,True
Runic Pyramid,1,True,True
Mark of Pain,1,False,True
SlaversCollar,1,False,True
Runic Cube,2,True,True
Sozu,2,False,True
Calling Bell,2,False,True
Pandora's Box,1,True,True
SlaversCollar,1,False,True
Runic Cube,1,False,True
Runic Pyramid,2,True,True
Empty Cage,2,False,True
Mark of Pain,2,False,True
Cursed Key,1,True,True
Tiny House,1,False,True
Runic Dome,1,False,True
Sozu,2,True,True
Mark of Pain,2,False,True
Velvet Choker,2,False,True
Philosopher's Stone,1,True,False
Runic Dome,1,False,False
Velvet Choker,1,False,False
