Gold
947
943
746
1255
2049
919
787
1307
377
900
765
802
1102
1037
265
1044
1220
452
374
290
861
516
467
946
936
420
1066
368
1017
599
1245
239
914
641
1236
1040
530
863
1169
1033
486
1041
1100
391
625
1046
