Killed by,Count
The Heart,5
Book of Stabbing,3
Slavers,3
Exordium Thugs,2
Nemesis,1
Snecko,1
The Guardian,1
Snake Plant,1
Slime Boss,1
Champ,1
Hexaghost,1
Masked Bandits,1
