Killed by,Count
The Heart,15
Hexaghost,9
The Guardian,6
Slavers,6
Gremlin Nob,5
Gremlin Leader,5
Time Eater,5
Snake Plant,4
Champ,3
Snecko,3
Slime Boss,3
Book of Stabbing,3
Exordium Thugs,3
Giant Head,2
Nemesis,2
Lagavulin,2
Collector,2
Centurion and Healer,2
3 Darklings,1
Awakened One,1
Sphere and 2 Shapes,1
3 Sentries,1
Gremlin Gang,1
Cultist and Chosen,1
Reptomancer,1
Shelled Parasite and Fungi,1
Transient,1
Chosen and Byrds,1
Maw,1
Donu and Deca,1
Masked Bandits,1
