Gold
264
660
1212
466
1164
1057
947
455
619
922
1164
943
746
451
444
1255
910
2049
847
919
219
787
1016
1307
1068
377
767
150
885
1054
900
934
942
766
431
765
802
1115
1112
347
510
1615
1092
1102
1037
265
778
681
750
899
1185
1052
622
352
1044
1417
494
472
1006
283
246
1220
776
1453
714
895
546
474
1763
812
500
937
1237
452
565
392
1662
374
290
779
861
1386
1181
516
1146
467
1060
407
574
1338
745
946
995
533
936
420
99
1066
368
1017
1008
940
99
839
819
246
1507
912
249
1333
277
1396
1227
712
1487
1199
599
1245
662
239
816
914
641
998
945
1236
402
1040
1530
216
462
530
1028
937
901
152
1214
99
828
1165
217
209
863
1133
1487
1410
934
208
140
617
966
796
1169
411
863
881
1033
1525
486
414
1116
1041
1470
656
99
907
1100
999
851
970
374
1413
1151
787
391
625
831
1046
1008
645
917
263
744
813
