Killed by,Count
Automaton,4
The Heart,3
Gremlin Nob,2
Awakened One,2
Donu and Deca,1
Shield and Spear,1
Centurion and Healer,1
Slavers,1
Snecko,1
Collector,1
Exordium Thugs,1
Time Eater,1
Champ,1
