Gold
952
882
765
237
1201
333
870
736
782
960
942
187
960
931
815
897
1224
916
816
963
1058
499
1015
923
1186
359
217
613
851
880
816
474
437
483
1879
743
338
916
572
1000
1133
99
749
99
418
854
918
326
308
158
608
2422
809
262
836
508
944
766
914
390
760
1174
336
856
1119
172
531
1062
1129
211
773
984
530
1067
852
963
842
1372
914
1173
1312
1805
1176
1567
696
907
610
1309
157
1576
1818
1305
1357
1135
600
1385
1231
1203
1038
1073
847
281
99
798
1325
1069
1342
1026
989
276
865
577
1150
771
895
931
1526
1308
799
130
691
1857
715
963
1087
814
1063
184
473
773
1122
832
390
838
166
673
343
436
727
579
243
911
732
1005
238
607
2146
1036
864
181
146
294
1559
962
1073
1270
983
175
495
99
1170
499
662
774
228
689
1015
1140
136
713
824
596
407
292
62
542
1119
1102
1187
1241
415
1184
798
99
784
848
845
1217
698
1435
201
1607
716
1082
1273
795
864
1990
869
831
