Killed by,Count
The Heart,10
Hexaghost,8
Gremlin Nob,8
Time Eater,6
Champ,6
Awakened One,6
Automaton,5
Slime Boss,5
Slavers,4
2 Orb Walkers,4
3 Sentries,4
Book of Stabbing,4
Nemesis,3
Shelled Parasite and Fungi,3
The Guardian,2
Snecko,2
Gremlin Gang,2
Gremlin Leader,2
Jaw Worm Horde,2
Exordium Thugs,2
4 Shapes,1
Transient,1
Cultist and Chosen,1
Collector,1
Centurion and Healer,1
3 Louse,1
Reptomancer,1
Giant Head,1
Large Slime,1
Snake Plant,1
Jaw Worm,1
The Mushroom Lair,1
Donu and Deca,1
